組み合わせ,内容
1-2-3,「できる」と信じた瞬間、半分は達成している。
1-2-4,「できるかどうか」ではなく、「やるかどうか」だ。
1-2-5,「無理だ」と言われた夢ほど、燃えたぎる。
1-2-6,「無理だ」と思った瞬間に成長は止まる。
1-3-2,あきらめた瞬間、全ての可能性は消える。
1-3-4,あきらめなければ、可能性は無限だ。
1-3-5,いつかではなく、今日始めよう。
1-3-6,いつだって未来は、無限の可能性に満ちている。
1-4-2,すべては「始めること」から動き出す。
1-4-3,できない理由より、できる方法を探せ。
1-4-5,どんな壁も、必ず超える方法はある。
1-4-6,やりたいことを恐れるな。挑めば道は開ける。
1-5-2,やるべきことは、今この瞬間に始めよ。
1-5-3,一度きりの人生、挑戦しない手はない。
1-5-4,一歩を踏み出せば、世界は変わり始める。
1-5-6,一歩踏み出すたび、世界は広がる。
1-6-2,運命を動かすのは、いつだって「覚悟」だ。
1-6-3,遠い未来を恐れず、今の一歩に集中せよ。
1-6-4,遠回りは、最も確実な近道になることもある。
1-6-5,過去に縛られるな。未来は今から変えられる。
2-1-3,過去は変えられぬ。だが、未来は自分の手で描ける。
2-1-4,汗は宝石のように輝く努力の証だ。
2-1-5,希望は、夜明けの光だ。
2-1-6,輝く未来は、今この瞬間の決断から始まる。
2-3-1,逆境こそが、真の力を引き出す。
2-3-4,苦しい時こそ、笑顔を忘れるな。
2-3-5,苦しみはいつか、力強い自信に変わる。
2-3-6,苦しみは一瞬、誇りは一生だ。
2-4-1,結果よりも、歩んだ道に価値がある。
2-4-3,限界は、挑戦することで消えていく。
2-4-5,行動する者にだけ、チャンスは微笑む。
2-4-6,今日が最悪の日なら、明日は最高のスタートだ。
2-5-1,今日できることを全力でやれば、明日は必ず輝く。
2-5-3,今日という日は、二度と戻らない大切な瞬間だ。
2-5-4,今日という日を、未来への贈り物にしよう。
2-5-6,今日の一歩が、未来の自分を救う道になる。
2-6-1,今日の努力は、明日の誇りとなる。
2-6-3,今日の努力は、明日の幸運を呼ぶ。
2-6-4,今日を全力で生きる者にだけ、明日は微笑む。
2-6-5,困難は、自分を試す舞台だ。
3-1-2,困難は、乗り越えるために存在する。
3-1-4,困難は、成長の階段に過ぎない。
3-1-5,最後に勝つのは、諦めなかった者だ。
3-1-6,最後に笑うのは、誰よりも信じ抜いた者だ。
3-2-1,昨日の涙が、明日の笑顔をつくる。
3-2-4,昨日までの限界を、今日超えてみよう。
3-2-5,止まない雨はない。夜明けは必ず来る。
3-2-6,自信は、努力の積み重ねでしか生まれない。
3-4-1,自分の価値は、誰かの評価で決まらない。
3-4-2,自分を好きになることが、最高の成功だ。
3-4-5,自分を信じること。それが最初の勝利だ。
3-4-6,自分を信じれば、奇跡は起きる。
3-5-1,自分を諦めなければ、運命は必ず動き出す。
3-5-2,失敗の中にこそ、成功の種は眠っている。
3-5-4,失敗は、次の成功への準備運動だ。
3-5-6,失敗は、未来からの贈り物だ。
3-6-1,失敗を恐れるな。それは学びの種だ。
3-6-2,勝つか負けるかではなく、挑戦することに価値がある。
3-6-4,小さな一歩が、人生を大きく動かす。
3-6-5,小さな自信を、毎日積み重ねよう。
4-1-2,小さな成功を喜べ。それは次の成功への階段だ。
4-1-3,小さな成功を笑うな。それは大きな奇跡の始まりだ。
4-1-5,焦るな、止まるな。着実に進め。
4-1-6,笑顔は、最強の武器である。
4-2-1,笑顔を忘れなければ、心は折れない。
4-2-3,常に挑戦者であれ。成長は挑戦からしか生まれない。
4-2-5,情熱は燃やすものではなく、守り続けるものだ。
4-2-6,心が折れた時こそ、もう一度立ち上がれ。
4-3-1,心が折れた時こそ、未来はすぐそこまで来ている。
4-3-2,心の中の炎を絶やすな。情熱こそが原動力だ。
4-3-5,心配するより、今できることを探せ。
4-3-6,新しい挑戦は、心を若返らせる。
4-5-1,進む道に迷ったら、心の声に耳を澄ませよ。
4-5-2,人は挑戦し続ける限り、いつでも青春だ。
4-5-3,人生の主役は、いつでも「あなた」だ。
4-5-6,人生は、自分を信じた者が主役になる舞台だ。
4-6-1,人生は一度きり。「やってよかった」と思える選択を。
4-6-2,人生は待つものではなく、掴みに行くものだ。
4-6-3,人生は挑戦する者のものだ。
4-6-5,人生は冒険だ。ワクワクする道を選べ。
5-1-2,成功とは、最後まで諦めなかった人へのご褒美だ。
5-1-3,前を向けば、道は必ず見える。
5-1-4,他人と比べず、昨日の自分と競え。
5-1-6,他人の成功を喜べる人は、自分も成功できる。
5-2-1,他人の評価より、自分の信念を優先せよ。
5-2-3,大きな夢ほど、静かに育てるものだ。
5-2-4,大志を抱け。小さな夢では心が燃えない。
5-2-6,大切なのは、スピードではなく続けること。
5-3-1,大切なのは「できるか」ではなく「やるか」だ。
5-3-2,挑戦する心は、人生最大の財産だ。
5-3-4,挑戦は、最も価値ある冒険だ。
5-3-6,努力の積み重ねが、奇跡を起こす。
5-4-1,努力は、未来の自分からの「プレゼント」だ。
5-4-2,努力は嘘をつかない。ただし、続けた者だけに微笑む。
5-4-3,努力を楽しめば、結果は自然とついてくる。
5-4-6,悩むより、動け。行動は最良の薬だ。
5-6-1,必要なのは才能ではなく、継続する力だ。
5-6-2,不安は行動でしか消えない。
5-6-3,不安よりも、ワクワクを大切にしよう。
5-6-4,不安を抱えるのは、挑戦している証拠だ。
6-1-2,不可能だと思った瞬間から、挑戦は始まっている。
6-1-3,不可能は、努力の前で消え去る。
6-1-4,変化を恐れるな。それは進化の証だ。
6-1-5,本気で願えば、道は必ず現れる。
6-2-1,本当に強い人は、優しさを忘れない人だ。
6-2-3,本当に大切なものは、心の中にある。
6-2-4,本当の力は、静かに積み重ねた努力から生まれる。
6-2-5,未来は今この瞬間に創られる。
6-3-1,夢の大きさは、あなたの心の広さだ。
6-3-2,夢は、心の中に咲く花だ。大切に育てよ。
6-3-4,夢は見るものではなく、叶えるものだ。
6-3-5,夢を叶える人は、夢を語り続けた人だ。
6-4-1,夢を語ることを恐れるな。それが未来を呼ぶ。
6-4-2,夢を持つ限り、老いることはない。
6-4-3,無理と思うことほど、成長のチャンスが隠れている。
6-4-5,目の前の小さなことを、大切に積み重ねよう。
6-5-1,目標は高く、足元は堅実に。
6-5-2,勇気ある一歩が、人生を変える扉を開く。
6-5-3,勇気は、あなたの中に最初から備わっている。
6-5-4,勇気は、心の中で静かに燃える炎だ。
